dataset,uspto_50k
use_rxn_class,True
atom_message,False
use_attn,False
n_heads,8
epochs,150
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,6
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
1,0.39,0.4922,0.7919,0.7232
2,0.5143,0.5534,0.8291,0.3915
3,0.5466,0.5688,0.8351,0.347
4,0.5658,0.5696,0.8367,0.3222
5,0.5815,0.5932,0.8443,0.3049
6,0.592,0.5954,0.8423,0.2927
7,0.6038,0.5938,0.8515,0.2811
8,0.6107,0.6152,0.8505,0.2732
9,0.6175,0.6136,0.8545,0.2661
10,0.6248,0.6104,0.8513,0.2587
11,0.6303,0.6196,0.8579,0.253
12,0.6339,0.6208,0.8619,0.2508
13,0.6387,0.6174,0.8561,0.2438
14,0.644,0.6226,0.8565,0.2406
15,0.6595,0.6327,0.8649,0.2235
16,0.6637,0.6287,0.8577,0.2173
17,0.6692,0.6277,0.8627,0.2132
18,0.673,0.6385,0.8675,0.2107
19,0.682,0.6289,0.8651,0.2062
20,0.6802,0.6317,0.8631,0.2062
21,0.6824,0.6375,0.8687,0.2026
22,0.6967,0.6439,0.8731,0.1876
23,0.701,0.6377,0.8733,0.1837
24,0.7059,0.6363,0.8627,0.1813
25,0.7115,0.6403,0.8637,0.1767
26,0.7135,0.6437,0.8667,0.1749
27,0.7153,0.6441,0.8697,0.1729
28,0.7192,0.6405,0.8683,0.1704
29,0.7316,0.6419,0.8723,0.1599
30,0.7377,0.6471,0.8651,0.1561
31,0.7407,0.6501,0.8762,0.1524
32,0.7459,0.6473,0.8721,0.15
33,0.7455,0.6503,0.8711,0.1487
34,0.7495,0.6437,0.8695,0.1461
35,0.7618,0.6469,0.8709,0.1376
36,0.7674,0.6493,0.8721,0.1339
37,0.7701,0.6489,0.8721,0.131
38,0.77,0.6557,0.8727,0.1309
39,0.7739,0.6477,0.8725,0.1275
40,0.7777,0.6463,0.8699,0.1264
41,0.7781,0.6545,0.8707,0.1261
42,0.7798,0.6491,0.8705,0.1253
43,0.7831,0.6461,0.8701,0.123
44,0.7847,0.6547,0.8721,0.1206
45,0.7943,0.6473,0.8717,0.1165
46,0.796,0.6507,0.8703,0.1117
47,0.799,0.6549,0.8715,0.1116
48,0.8047,0.6497,0.8667,0.1087
49,0.8067,0.6475,0.8691,0.107
50,0.8087,0.6491,0.8713,0.106
51,0.8147,0.6465,0.8697,0.1014
52,0.8199,0.6537,0.8699,0.098
53,0.8218,0.6487,0.8735,0.0981
54,0.8255,0.6537,0.8723,0.0963
55,0.8268,0.6523,0.8707,0.0955
56,0.8251,0.6483,0.8687,0.0946
57,0.8357,0.6589,0.8725,0.0891
58,0.836,0.6519,0.8703,0.0878
59,0.8389,0.6519,0.8719,0.0872
60,0.8373,0.6539,0.8705,0.0867
61,0.8419,0.6531,0.8727,0.0852
62,0.8433,0.6473,0.8689,0.0845
63,0.8469,0.6551,0.8707,0.082
64,0.8483,0.6525,0.8705,0.0803
65,0.8529,0.6561,0.8715,0.0787
66,0.8529,0.6561,0.8699,0.0785
67,0.8552,0.6547,0.8727,0.0773
68,0.8572,0.6553,0.8731,0.0763
69,0.8623,0.6589,0.8715,0.0739
70,0.8611,0.6535,0.8737,0.0727
71,0.8647,0.6521,0.8705,0.0712
72,0.8667,0.6541,0.8739,0.071
73,0.8654,0.6517,0.8741,0.0714
74,0.8664,0.6521,0.8723,0.0704
75,0.8696,0.6541,0.8713,0.0689
76,0.8715,0.6559,0.8731,0.0682
77,0.8741,0.6585,0.8735,0.0668
78,0.874,0.6557,0.8731,0.066
79,0.8742,0.6565,0.8745,0.0672
80,0.8749,0.6563,0.8749,0.0657
81,0.8778,0.6561,0.8747,0.0642
82,0.8801,0.6541,0.8737,0.0628
83,0.8798,0.6523,0.8705,0.0628
84,0.8812,0.6567,0.8737,0.0622
85,0.8812,0.6569,0.8745,0.0623
86,0.8835,0.6539,0.8733,0.0611
87,0.8836,0.6541,0.8743,0.061
88,0.885,0.6539,0.8739,0.0596
89,0.8849,0.6545,0.8729,0.0602
90,0.8877,0.6555,0.8739,0.059
91,0.8873,0.6535,0.8729,0.0592
92,0.8866,0.6559,0.8729,0.0589
93,0.8878,0.6563,0.8729,0.0581
94,0.891,0.6579,0.8739,0.0571
95,0.8917,0.6535,0.8733,0.0568
96,0.89,0.6569,0.8713,0.0561
97,0.892,0.6517,0.8701,0.0568
98,0.8921,0.6557,0.8705,0.0559
99,0.8944,0.6569,0.8725,0.0553
100,0.8942,0.6573,0.8743,0.0549
101,0.8965,0.6571,0.8729,0.0541
102,0.8939,0.6551,0.8715,0.0547
103,0.8973,0.6541,0.8717,0.0536
104,0.8965,0.6561,0.8729,0.0539
105,0.8958,0.6555,0.8717,0.0538
106,0.8959,0.6571,0.8713,0.0542
107,0.8984,0.6589,0.8733,0.053
108,0.9,0.6589,0.8735,0.0523
109,0.8983,0.6571,0.8727,0.0525
110,0.8969,0.6553,0.8727,0.0536
111,0.8983,0.6551,0.8754,0.0524
112,0.9004,0.6545,0.8739,0.0512
113,0.9027,0.6567,0.8729,0.0512
114,0.9018,0.6577,0.8729,0.0509
115,0.9028,0.6569,0.8735,0.0508
116,0.8996,0.6575,0.8727,0.0516
117,0.9027,0.6585,0.8737,0.0503
118,0.9027,0.6569,0.8727,0.0508
119,0.901,0.6575,0.8723,0.0514
120,0.8998,0.6589,0.8733,0.0509
121,0.9061,0.6607,0.8756,0.0501
122,0.9028,0.6595,0.8747,0.05
123,0.9035,0.6539,0.8725,0.0492
124,0.9042,0.6581,0.8731,0.0496
125,0.9012,0.6571,0.8741,0.05
126,0.9046,0.6581,0.8737,0.0491
127,0.901,0.6575,0.8739,0.05
128,0.9044,0.6565,0.8743,0.0492
129,0.9035,0.6563,0.8733,0.049
130,0.9063,0.6565,0.8733,0.0489
131,0.9046,0.6555,0.8721,0.049
132,0.904,0.6571,0.8733,0.0494
133,0.9048,0.6577,0.8731,0.0496
134,0.9064,0.6571,0.8745,0.0487
135,0.904,0.6559,0.8725,0.049
136,0.9042,0.6553,0.8731,0.0484
137,0.9046,0.6561,0.8725,0.0486
138,0.9059,0.6579,0.8731,0.0486
139,0.9054,0.6583,0.8729,0.0491
140,0.9064,0.6573,0.8733,0.0486
141,0.9073,0.6579,0.8741,0.0486
142,0.9076,0.6589,0.8745,0.0487
143,0.9059,0.6575,0.8737,0.0483
144,0.9057,0.6575,0.8735,0.0481
145,0.9043,0.6597,0.8743,0.0479
146,0.9068,0.6581,0.8737,0.048
147,0.9077,0.6581,0.8741,0.0477
148,0.9082,0.6599,0.8737,0.0485
149,0.9082,0.6581,0.8733,0.0479
150,0.9072,0.6583,0.8739,0.0475
